entidad,estrato_socioeconomico,tono_de_color_de_piel,cuenta,nom_entidad,abr_estado,estrato_socioeconomico_nom,estratos
25,3,6,30,Sinaloa,Sin.,Medio Alto,3) Medio Alto
25,3,8,86,Sinaloa,Sin.,Medio Alto,3) Medio Alto
6,3,8,58,Colima,Col.,Medio Alto,3) Medio Alto
6,3,7,35,Colima,Col.,Medio Alto,3) Medio Alto
6,3,6,23,Colima,Col.,Medio Alto,3) Medio Alto
6,3,5,6,Colima,Col.,Medio Alto,3) Medio Alto
6,3,4,4,Colima,Col.,Medio Alto,3) Medio Alto
6,3,9,3,Colima,Col.,Medio Alto,3) Medio Alto
25,3,7,61,Sinaloa,Sin.,Medio Alto,3) Medio Alto
8,3,3,1,Chihuahua,Chih.,Medio Alto,3) Medio Alto
4,3,5,3,Campeche,Camp.,Medio Alto,3) Medio Alto
15,3,11,6,México,Mex.,Medio Alto,3) Medio Alto
32,3,4,2,Zacatecas,Zac.,Medio Alto,3) Medio Alto
32,3,11,6,Zacatecas,Zac.,Medio Alto,3) Medio Alto
32,3,9,7,Zacatecas,Zac.,Medio Alto,3) Medio Alto
32,3,10,11,Zacatecas,Zac.,Medio Alto,3) Medio Alto
32,3,6,13,Zacatecas,Zac.,Medio Alto,3) Medio Alto
11,3,7,53,Guanajuato,Gto.,Medio Alto,3) Medio Alto
11,3,6,31,Guanajuato,Gto.,Medio Alto,3) Medio Alto
11,3,9,10,Guanajuato,Gto.,Medio Alto,3) Medio Alto
11,3,5,5,Guanajuato,Gto.,Medio Alto,3) Medio Alto
11,3,10,5,Guanajuato,Gto.,Medio Alto,3) Medio Alto
11,3,4,4,Guanajuato,Gto.,Medio Alto,3) Medio Alto
11,3,11,4,Guanajuato,Gto.,Medio Alto,3) Medio Alto
11,3,3,1,Guanajuato,Gto.,Medio Alto,3) Medio Alto
31,3,9,3,Yucatán,Yuc.,Medio Alto,3) Medio Alto
31,3,11,3,Yucatán,Yuc.,Medio Alto,3) Medio Alto
32,3,5,1,Zacatecas,Zac.,Medio Alto,3) Medio Alto
15,3,5,1,México,Mex.,Medio Alto,3) Medio Alto
15,3,4,1,México,Mex.,Medio Alto,3) Medio Alto
11,3,8,63,Guanajuato,Gto.,Medio Alto,3) Medio Alto
16,3,10,5,Michoacán de Ocampo,Mich.,Medio Alto,3) Medio Alto
15,3,2,1,México,Mex.,Medio Alto,3) Medio Alto
15,3,3,1,México,Mex.,Medio Alto,3) Medio Alto
31,3,8,57,Yucatán,Yuc.,Medio Alto,3) Medio Alto
31,3,7,45,Yucatán,Yuc.,Medio Alto,3) Medio Alto
31,3,6,9,Yucatán,Yuc.,Medio Alto,3) Medio Alto
31,3,10,8,Yucatán,Yuc.,Medio Alto,3) Medio Alto
31,3,3,2,Yucatán,Yuc.,Medio Alto,3) Medio Alto
31,3,4,4,Yucatán,Yuc.,Medio Alto,3) Medio Alto
18,3,5,2,Nayarit,Nay.,Medio Alto,3) Medio Alto
18,3,9,3,Nayarit,Nay.,Medio Alto,3) Medio Alto
18,3,4,4,Nayarit,Nay.,Medio Alto,3) Medio Alto
18,3,10,5,Nayarit,Nay.,Medio Alto,3) Medio Alto
18,3,6,14,Nayarit,Nay.,Medio Alto,3) Medio Alto
18,3,7,53,Nayarit,Nay.,Medio Alto,3) Medio Alto
18,3,8,82,Nayarit,Nay.,Medio Alto,3) Medio Alto
18,3,11,2,Nayarit,Nay.,Medio Alto,3) Medio Alto
15,3,10,8,México,Mex.,Medio Alto,3) Medio Alto
31,3,2,1,Yucatán,Yuc.,Medio Alto,3) Medio Alto
32,3,7,44,Zacatecas,Zac.,Medio Alto,3) Medio Alto
12,3,6,2,Guerrero,Gro.,Medio Alto,3) Medio Alto
1,3,4,4,Aguascalientes,Ags.,Medio Alto,3) Medio Alto
12,3,5,1,Guerrero,Gro.,Medio Alto,3) Medio Alto
12,3,9,1,Guerrero,Gro.,Medio Alto,3) Medio Alto
1,3,11,5,Aguascalientes,Ags.,Medio Alto,3) Medio Alto
1,3,5,6,Aguascalientes,Ags.,Medio Alto,3) Medio Alto
1,3,9,21,Aguascalientes,Ags.,Medio Alto,3) Medio Alto
1,3,10,27,Aguascalientes,Ags.,Medio Alto,3) Medio Alto
1,3,6,27,Aguascalientes,Ags.,Medio Alto,3) Medio Alto
1,3,7,81,Aguascalientes,Ags.,Medio Alto,3) Medio Alto
1,3,8,129,Aguascalientes,Ags.,Medio Alto,3) Medio Alto
16,3,5,1,Michoacán de Ocampo,Mich.,Medio Alto,3) Medio Alto
16,3,4,1,Michoacán de Ocampo,Mich.,Medio Alto,3) Medio Alto
16,3,3,2,Michoacán de Ocampo,Mich.,Medio Alto,3) Medio Alto
16,3,11,5,Michoacán de Ocampo,Mich.,Medio Alto,3) Medio Alto
12,3,7,9,Guerrero,Gro.,Medio Alto,3) Medio Alto
12,3,8,24,Guerrero,Gro.,Medio Alto,3) Medio Alto
17,3,8,43,Morelos,Mor.,Medio Alto,3) Medio Alto
17,3,7,35,Morelos,Mor.,Medio Alto,3) Medio Alto
32,3,8,76,Zacatecas,Zac.,Medio Alto,3) Medio Alto
13,3,6,1,Hidalgo,Hgo.,Medio Alto,3) Medio Alto
13,3,11,2,Hidalgo,Hgo.,Medio Alto,3) Medio Alto
13,3,10,3,Hidalgo,Hgo.,Medio Alto,3) Medio Alto
13,3,9,3,Hidalgo,Hgo.,Medio Alto,3) Medio Alto
13,3,7,14,Hidalgo,Hgo.,Medio Alto,3) Medio Alto
13,3,8,16,Hidalgo,Hgo.,Medio Alto,3) Medio Alto
31,3,5,1,Yucatán,Yuc.,Medio Alto,3) Medio Alto
17,3,11,2,Morelos,Mor.,Medio Alto,3) Medio Alto
16,3,7,29,Michoacán de Ocampo,Mich.,Medio Alto,3) Medio Alto
16,3,6,5,Michoacán de Ocampo,Mich.,Medio Alto,3) Medio Alto
17,3,9,2,Morelos,Mor.,Medio Alto,3) Medio Alto
17,3,4,2,Morelos,Mor.,Medio Alto,3) Medio Alto
17,3,10,5,Morelos,Mor.,Medio Alto,3) Medio Alto
17,3,5,6,Morelos,Mor.,Medio Alto,3) Medio Alto
17,3,6,25,Morelos,Mor.,Medio Alto,3) Medio Alto
16,3,8,46,Michoacán de Ocampo,Mich.,Medio Alto,3) Medio Alto
19,3,8,137,Nuevo León,NL,Medio Alto,3) Medio Alto
16,3,9,5,Michoacán de Ocampo,Mich.,Medio Alto,3) Medio Alto
19,3,6,26,Nuevo León,NL,Medio Alto,3) Medio Alto
21,3,7,30,Puebla,Pue.,Medio Alto,3) Medio Alto
21,3,8,40,Puebla,Pue.,Medio Alto,3) Medio Alto
9,3,8,145,Ciudad de México,CDMX,Medio Alto,3) Medio Alto
9,3,7,121,Ciudad de México,CDMX,Medio Alto,3) Medio Alto
9,3,9,24,Ciudad de México,CDMX,Medio Alto,3) Medio Alto
9,3,6,21,Ciudad de México,CDMX,Medio Alto,3) Medio Alto
21,3,6,8,Puebla,Pue.,Medio Alto,3) Medio Alto
9,3,10,21,Ciudad de México,CDMX,Medio Alto,3) Medio Alto
9,3,11,7,Ciudad de México,CDMX,Medio Alto,3) Medio Alto
9,3,4,3,Ciudad de México,CDMX,Medio Alto,3) Medio Alto
9,3,2,2,Ciudad de México,CDMX,Medio Alto,3) Medio Alto
9,3,1,1,Ciudad de México,CDMX,Medio Alto,3) Medio Alto
19,3,7,81,Nuevo León,NL,Medio Alto,3) Medio Alto
30,3,2,1,Veracruz de Ignacio de la Llave,Ver.,Medio Alto,3) Medio Alto
9,3,5,8,Ciudad de México,CDMX,Medio Alto,3) Medio Alto
4,3,9,4,Campeche,Camp.,Medio Alto,3) Medio Alto
21,3,4,3,Puebla,Pue.,Medio Alto,3) Medio Alto
21,3,5,2,Puebla,Pue.,Medio Alto,3) Medio Alto
14,3,11,6,Jalisco,Jal.,Medio Alto,3) Medio Alto
2,3,3,1,Baja California,BC,Medio Alto,3) Medio Alto
2,3,11,2,Baja California,BC,Medio Alto,3) Medio Alto
2,3,4,3,Baja California,BC,Medio Alto,3) Medio Alto
2,3,5,6,Baja California,BC,Medio Alto,3) Medio Alto
30,3,7,28,Veracruz de Ignacio de la Llave,Ver.,Medio Alto,3) Medio Alto
30,3,8,26,Veracruz de Ignacio de la Llave,Ver.,Medio Alto,3) Medio Alto
14,3,5,7,Jalisco,Jal.,Medio Alto,3) Medio Alto
30,3,6,3,Veracruz de Ignacio de la Llave,Ver.,Medio Alto,3) Medio Alto
30,3,11,2,Veracruz de Ignacio de la Llave,Ver.,Medio Alto,3) Medio Alto
21,3,9,1,Puebla,Pue.,Medio Alto,3) Medio Alto
21,3,3,1,Puebla,Pue.,Medio Alto,3) Medio Alto
21,3,2,1,Puebla,Pue.,Medio Alto,3) Medio Alto
21,3,1,1,Puebla,Pue.,Medio Alto,3) Medio Alto
21,3,11,2,Puebla,Pue.,Medio Alto,3) Medio Alto
30,3,9,1,Veracruz de Ignacio de la Llave,Ver.,Medio Alto,3) Medio Alto
14,3,4,7,Jalisco,Jal.,Medio Alto,3) Medio Alto
9,3,3,1,Ciudad de México,CDMX,Medio Alto,3) Medio Alto
14,3,10,13,Jalisco,Jal.,Medio Alto,3) Medio Alto
10,3,7,44,Durango,Dgo.,Medio Alto,3) Medio Alto
10,3,6,14,Durango,Dgo.,Medio Alto,3) Medio Alto
10,3,10,12,Durango,Dgo.,Medio Alto,3) Medio Alto
10,3,9,10,Durango,Dgo.,Medio Alto,3) Medio Alto
10,3,4,3,Durango,Dgo.,Medio Alto,3) Medio Alto
10,3,3,2,Durango,Dgo.,Medio Alto,3) Medio Alto
10,3,5,2,Durango,Dgo.,Medio Alto,3) Medio Alto
30,3,10,1,Veracruz de Ignacio de la Llave,Ver.,Medio Alto,3) Medio Alto
10,3,11,2,Durango,Dgo.,Medio Alto,3) Medio Alto
19,3,3,1,Nuevo León,NL,Medio Alto,3) Medio Alto
19,3,2,1,Nuevo León,NL,Medio Alto,3) Medio Alto
19,3,4,3,Nuevo León,NL,Medio Alto,3) Medio Alto
19,3,11,5,Nuevo León,NL,Medio Alto,3) Medio Alto
19,3,5,9,Nuevo León,NL,Medio Alto,3) Medio Alto
19,3,9,17,Nuevo León,NL,Medio Alto,3) Medio Alto
19,3,10,25,Nuevo León,NL,Medio Alto,3) Medio Alto
2,3,8,95,Baja California,BC,Medio Alto,3) Medio Alto
20,3,8,13,Oaxaca,Oax.,Medio Alto,3) Medio Alto
10,3,8,93,Durango,Dgo.,Medio Alto,3) Medio Alto
2,3,7,60,Baja California,BC,Medio Alto,3) Medio Alto
14,3,7,78,Jalisco,Jal.,Medio Alto,3) Medio Alto
2,3,10,18,Baja California,BC,Medio Alto,3) Medio Alto
2,3,9,36,Baja California,BC,Medio Alto,3) Medio Alto
2,3,6,42,Baja California,BC,Medio Alto,3) Medio Alto
20,3,7,11,Oaxaca,Oax.,Medio Alto,3) Medio Alto
14,3,8,134,Jalisco,Jal.,Medio Alto,3) Medio Alto
15,3,8,73,México,Mex.,Medio Alto,3) Medio Alto
15,3,7,37,México,Mex.,Medio Alto,3) Medio Alto
15,3,9,12,México,Mex.,Medio Alto,3) Medio Alto
15,3,6,8,México,Mex.,Medio Alto,3) Medio Alto
20,3,4,1,Oaxaca,Oax.,Medio Alto,3) Medio Alto
20,3,6,6,Oaxaca,Oax.,Medio Alto,3) Medio Alto
14,3,6,25,Jalisco,Jal.,Medio Alto,3) Medio Alto
14,3,9,23,Jalisco,Jal.,Medio Alto,3) Medio Alto
32,4,10,3,Zacatecas,Zac.,Alto,4) Alto
32,4,9,2,Zacatecas,Zac.,Alto,4) Alto
32,4,11,2,Zacatecas,Zac.,Alto,4) Alto
32,4,8,24,Zacatecas,Zac.,Alto,4) Alto
3,4,4,1,Baja California Sur,BCS,Alto,4) Alto
3,4,5,2,Baja California Sur,BCS,Alto,4) Alto
3,4,11,6,Baja California Sur,BCS,Alto,4) Alto
32,4,7,8,Zacatecas,Zac.,Alto,4) Alto
2,4,5,1,Baja California,BC,Alto,4) Alto
28,4,5,1,Tamaulipas,Tamps.,Alto,4) Alto
28,4,7,20,Tamaulipas,Tamps.,Alto,4) Alto
1,4,11,3,Aguascalientes,Ags.,Alto,4) Alto
1,4,5,1,Aguascalientes,Ags.,Alto,4) Alto
29,4,8,19,Tlaxcala,Tlax.,Alto,4) Alto
29,4,7,10,Tlaxcala,Tlax.,Alto,4) Alto
29,4,9,4,Tlaxcala,Tlax.,Alto,4) Alto
29,4,6,2,Tlaxcala,Tlax.,Alto,4) Alto
29,4,10,2,Tlaxcala,Tlax.,Alto,4) Alto
30,4,9,1,Veracruz de Ignacio de la Llave,Ver.,Alto,4) Alto
1,4,9,4,Aguascalientes,Ags.,Alto,4) Alto
30,4,6,1,Veracruz de Ignacio de la Llave,Ver.,Alto,4) Alto
30,4,7,7,Veracruz de Ignacio de la Llave,Ver.,Alto,4) Alto
29,4,5,1,Tlaxcala,Tlax.,Alto,4) Alto
2,4,11,1,Baja California,BC,Alto,4) Alto
2,4,8,53,Baja California,BC,Alto,4) Alto
2,4,9,33,Baja California,BC,Alto,4) Alto
2,4,7,14,Baja California,BC,Alto,4) Alto
2,4,10,14,Baja California,BC,Alto,4) Alto
2,4,6,10,Baja California,BC,Alto,4) Alto
30,4,8,3,Veracruz de Ignacio de la Llave,Ver.,Alto,4) Alto
1,4,10,9,Aguascalientes,Ags.,Alto,4) Alto
3,4,8,47,Baja California Sur,BCS,Alto,4) Alto
3,4,7,42,Baja California Sur,BCS,Alto,4) Alto
28,4,6,5,Tamaulipas,Tamps.,Alto,4) Alto
28,4,11,5,Tamaulipas,Tamps.,Alto,4) Alto
28,4,9,4,Tamaulipas,Tamps.,Alto,4) Alto
1,4,8,53,Aguascalientes,Ags.,Alto,4) Alto
1,4,7,32,Aguascalientes,Ags.,Alto,4) Alto
1,4,6,9,Aguascalientes,Ags.,Alto,4) Alto
31,4,4,1,Yucatán,Yuc.,Alto,4) Alto
31,4,10,6,Yucatán,Yuc.,Alto,4) Alto
31,4,11,7,Yucatán,Yuc.,Alto,4) Alto
31,4,6,8,Yucatán,Yuc.,Alto,4) Alto
31,4,7,12,Yucatán,Yuc.,Alto,4) Alto
31,4,8,43,Yucatán,Yuc.,Alto,4) Alto
28,4,10,4,Tamaulipas,Tamps.,Alto,4) Alto
28,4,3,2,Tamaulipas,Tamps.,Alto,4) Alto
28,4,4,1,Tamaulipas,Tamps.,Alto,4) Alto
2,4,4,1,Baja California,BC,Alto,4) Alto
3,4,9,6,Baja California Sur,BCS,Alto,4) Alto
3,4,10,8,Baja California Sur,BCS,Alto,4) Alto
3,4,6,16,Baja California Sur,BCS,Alto,4) Alto
28,4,8,33,Tamaulipas,Tamps.,Alto,4) Alto
14,4,9,10,Jalisco,Jal.,Alto,4) Alto
23,4,5,9,Quintana Roo,Q. Roo,Alto,4) Alto
27,4,10,1,Tabasco,Tab.,Alto,4) Alto
19,4,8,80,Nuevo León,NL,Alto,4) Alto
10,4,8,25,Durango,Dgo.,Alto,4) Alto
10,4,7,15,Durango,Dgo.,Alto,4) Alto
10,4,6,5,Durango,Dgo.,Alto,4) Alto
10,4,11,3,Durango,Dgo.,Alto,4) Alto
10,4,5,2,Durango,Dgo.,Alto,4) Alto
10,4,9,2,Durango,Dgo.,Alto,4) Alto
19,4,7,33,Nuevo León,NL,Alto,4) Alto
10,4,10,2,Durango,Dgo.,Alto,4) Alto
18,4,9,2,Nayarit,Nay.,Alto,4) Alto
18,4,6,3,Nayarit,Nay.,Alto,4) Alto
18,4,7,14,Nayarit,Nay.,Alto,4) Alto
18,4,8,17,Nayarit,Nay.,Alto,4) Alto
11,4,8,24,Guanajuato,Gto.,Alto,4) Alto
11,4,7,12,Guanajuato,Gto.,Alto,4) Alto
11,4,6,8,Guanajuato,Gto.,Alto,4) Alto
18,4,10,2,Nayarit,Nay.,Alto,4) Alto
19,4,10,19,Nuevo León,NL,Alto,4) Alto
19,4,9,11,Nuevo León,NL,Alto,4) Alto
19,4,6,9,Nuevo León,NL,Alto,4) Alto
21,4,6,7,Puebla,Pue.,Alto,4) Alto
21,4,7,11,Puebla,Pue.,Alto,4) Alto
21,4,8,17,Puebla,Pue.,Alto,4) Alto
9,4,8,48,Ciudad de México,CDMX,Alto,4) Alto
9,4,7,26,Ciudad de México,CDMX,Alto,4) Alto
9,4,10,15,Ciudad de México,CDMX,Alto,4) Alto
9,4,9,8,Ciudad de México,CDMX,Alto,4) Alto
9,4,11,8,Ciudad de México,CDMX,Alto,4) Alto
9,4,6,7,Ciudad de México,CDMX,Alto,4) Alto
9,4,5,1,Ciudad de México,CDMX,Alto,4) Alto
20,4,9,1,Oaxaca,Oax.,Alto,4) Alto
20,4,8,2,Oaxaca,Oax.,Alto,4) Alto
20,4,6,2,Oaxaca,Oax.,Alto,4) Alto
20,4,7,4,Oaxaca,Oax.,Alto,4) Alto
19,4,5,2,Nuevo León,NL,Alto,4) Alto
19,4,4,2,Nuevo León,NL,Alto,4) Alto
19,4,11,8,Nuevo León,NL,Alto,4) Alto
11,4,9,4,Guanajuato,Gto.,Alto,4) Alto
21,4,10,4,Puebla,Pue.,Alto,4) Alto
11,4,10,3,Guanajuato,Gto.,Alto,4) Alto
11,4,5,1,Guanajuato,Gto.,Alto,4) Alto
13,4,6,2,Hidalgo,Hgo.,Alto,4) Alto
13,4,10,1,Hidalgo,Hgo.,Alto,4) Alto
15,4,4,1,México,Mex.,Alto,4) Alto
15,4,3,1,México,Mex.,Alto,4) Alto
15,4,2,1,México,Mex.,Alto,4) Alto
15,4,5,3,México,Mex.,Alto,4) Alto
15,4,11,5,México,Mex.,Alto,4) Alto
13,4,9,4,Hidalgo,Hgo.,Alto,4) Alto
15,4,10,5,México,Mex.,Alto,4) Alto
15,4,6,5,México,Mex.,Alto,4) Alto
15,4,7,23,México,Mex.,Alto,4) Alto
15,4,8,36,México,Mex.,Alto,4) Alto
14,4,8,40,Jalisco,Jal.,Alto,4) Alto
14,4,11,2,Jalisco,Jal.,Alto,4) Alto
14,4,10,4,Jalisco,Jal.,Alto,4) Alto
14,4,6,6,Jalisco,Jal.,Alto,4) Alto
15,4,9,5,México,Mex.,Alto,4) Alto
13,4,8,9,Hidalgo,Hgo.,Alto,4) Alto
13,4,7,18,Hidalgo,Hgo.,Alto,4) Alto
16,4,8,9,Michoacán de Ocampo,Mich.,Alto,4) Alto
11,4,11,1,Guanajuato,Gto.,Alto,4) Alto
17,4,5,1,Morelos,Mor.,Alto,4) Alto
17,4,11,2,Morelos,Mor.,Alto,4) Alto
17,4,9,2,Morelos,Mor.,Alto,4) Alto
17,4,6,3,Morelos,Mor.,Alto,4) Alto
17,4,7,7,Morelos,Mor.,Alto,4) Alto
17,4,8,12,Morelos,Mor.,Alto,4) Alto
32,4,5,1,Zacatecas,Zac.,Alto,4) Alto
12,4,8,3,Guerrero,Gro.,Alto,4) Alto
12,4,6,1,Guerrero,Gro.,Alto,4) Alto
12,4,7,1,Guerrero,Gro.,Alto,4) Alto
16,4,11,1,Michoacán de Ocampo,Mich.,Alto,4) Alto
16,4,9,1,Michoacán de Ocampo,Mich.,Alto,4) Alto
16,4,5,1,Michoacán de Ocampo,Mich.,Alto,4) Alto
16,4,10,2,Michoacán de Ocampo,Mich.,Alto,4) Alto
16,4,7,4,Michoacán de Ocampo,Mich.,Alto,4) Alto
16,4,6,4,Michoacán de Ocampo,Mich.,Alto,4) Alto
11,4,4,2,Guanajuato,Gto.,Alto,4) Alto
21,4,9,2,Puebla,Pue.,Alto,4) Alto
21,4,5,1,Puebla,Pue.,Alto,4) Alto
21,4,11,1,Puebla,Pue.,Alto,4) Alto
5,4,9,3,Coahuila de Zaragoza,Coah.,Alto,4) Alto
5,4,11,3,Coahuila de Zaragoza,Coah.,Alto,4) Alto
5,4,4,1,Coahuila de Zaragoza,Coah.,Alto,4) Alto
5,4,5,1,Coahuila de Zaragoza,Coah.,Alto,4) Alto
25,4,11,3,Sinaloa,Sin.,Alto,4) Alto
25,4,6,3,Sinaloa,Sin.,Alto,4) Alto
25,4,10,7,Sinaloa,Sin.,Alto,4) Alto
5,4,10,4,Coahuila de Zaragoza,Coah.,Alto,4) Alto
25,4,9,12,Sinaloa,Sin.,Alto,4) Alto
25,4,8,57,Sinaloa,Sin.,Alto,4) Alto
6,4,8,39,Colima,Col.,Alto,4) Alto
6,4,7,30,Colima,Col.,Alto,4) Alto
6,4,6,10,Colima,Col.,Alto,4) Alto
6,4,10,10,Colima,Col.,Alto,4) Alto
6,4,9,5,Colima,Col.,Alto,4) Alto
6,4,4,3,Colima,Col.,Alto,4) Alto
25,4,7,25,Sinaloa,Sin.,Alto,4) Alto
5,4,6,13,Coahuila de Zaragoza,Coah.,Alto,4) Alto
5,4,7,20,Coahuila de Zaragoza,Coah.,Alto,4) Alto
5,4,8,42,Coahuila de Zaragoza,Coah.,Alto,4) Alto
27,4,6,1,Tabasco,Tab.,Alto,4) Alto
27,4,8,9,Tabasco,Tab.,Alto,4) Alto
27,4,7,12,Tabasco,Tab.,Alto,4) Alto
4,4,7,20,Campeche,Camp.,Alto,4) Alto
4,4,8,16,Campeche,Camp.,Alto,4) Alto
4,4,9,4,Campeche,Camp.,Alto,4) Alto
4,4,10,4,Campeche,Camp.,Alto,4) Alto
4,4,6,3,Campeche,Camp.,Alto,4) Alto
4,4,5,2,Campeche,Camp.,Alto,4) Alto
4,4,3,1,Campeche,Camp.,Alto,4) Alto
26,4,3,1,Sonora,Son.,Alto,4) Alto
26,4,6,6,Sonora,Son.,Alto,4) Alto
26,4,10,9,Sonora,Son.,Alto,4) Alto
26,4,9,9,Sonora,Son.,Alto,4) Alto
26,4,11,10,Sonora,Son.,Alto,4) Alto
26,4,7,14,Sonora,Son.,Alto,4) Alto
26,4,8,43,Sonora,Son.,Alto,4) Alto
24,4,3,1,San Luis Potosí,SLP,Alto,4) Alto
24,4,11,2,San Luis Potosí,SLP,Alto,4) Alto
24,4,5,2,San Luis Potosí,SLP,Alto,4) Alto
24,4,4,2,San Luis Potosí,SLP,Alto,4) Alto
7,4,11,1,Chiapas,Chis.,Alto,4) Alto
22,4,3,2,Querétaro,Qro.,Alto,4) Alto
22,4,4,3,Querétaro,Qro.,Alto,4) Alto
22,4,9,5,Querétaro,Qro.,Alto,4) Alto
22,4,10,9,Querétaro,Qro.,Alto,4) Alto
22,4,6,10,Querétaro,Qro.,Alto,4) Alto
22,4,11,12,Querétaro,Qro.,Alto,4) Alto
22,4,7,28,Querétaro,Qro.,Alto,4) Alto
22,4,8,77,Querétaro,Qro.,Alto,4) Alto
8,4,8,46,Chihuahua,Chih.,Alto,4) Alto
8,4,7,15,Chihuahua,Chih.,Alto,4) Alto
8,4,10,10,Chihuahua,Chih.,Alto,4) Alto
8,4,11,5,Chihuahua,Chih.,Alto,4) Alto
8,4,6,3,Chihuahua,Chih.,Alto,4) Alto
8,4,9,3,Chihuahua,Chih.,Alto,4) Alto
8,4,4,1,Chihuahua,Chih.,Alto,4) Alto
8,4,5,1,Chihuahua,Chih.,Alto,4) Alto
7,4,10,1,Chiapas,Chis.,Alto,4) Alto
27,4,11,1,Tabasco,Tab.,Alto,4) Alto
7,4,9,1,Chiapas,Chis.,Alto,4) Alto
23,4,8,26,Quintana Roo,Q. Roo,Alto,4) Alto
24,4,9,3,San Luis Potosí,SLP,Alto,4) Alto
24,4,10,5,San Luis Potosí,SLP,Alto,4) Alto
24,4,6,6,San Luis Potosí,SLP,Alto,4) Alto
24,4,7,19,San Luis Potosí,SLP,Alto,4) Alto
24,4,8,42,San Luis Potosí,SLP,Alto,4) Alto
6,4,5,3,Colima,Col.,Alto,4) Alto
6,4,11,2,Colima,Col.,Alto,4) Alto
7,4,8,8,Chiapas,Chis.,Alto,4) Alto
7,4,7,4,Chiapas,Chis.,Alto,4) Alto
23,4,11,1,Quintana Roo,Q. Roo,Alto,4) Alto
23,4,2,1,Quintana Roo,Q. Roo,Alto,4) Alto
23,4,10,5,Quintana Roo,Q. Roo,Alto,4) Alto
23,4,4,8,Quintana Roo,Q. Roo,Alto,4) Alto
14,4,7,12,Jalisco,Jal.,Alto,4) Alto
23,4,9,12,Quintana Roo,Q. Roo,Alto,4) Alto
23,4,6,13,Quintana Roo,Q. Roo,Alto,4) Alto
23,4,7,16,Quintana Roo,Q. Roo,Alto,4) Alto
7,4,6,1,Chiapas,Chis.,Alto,4) Alto
32,4,6,1,Zacatecas,Zac.,Alto,4) Alto
